SubjectID,gi_l_gray,gi_l_white,gi_l_mid,gi_r_gray,gi_r_white,gi_r_mid
1,2.326,2.348,2.256,2.332,2.378,2.275
2,2.337,2.41,2.297,2.364,2.446,2.33
3,2.351,2.449,2.323,2.36,2.492,2.35
4,2.412,2.459,2.353,2.42,2.484,2.373
5,2.354,2.48,2.338,2.279,2.433,2.286
6,,,,,,
7,2.338,2.429,2.31,2.293,2.368,2.251
8,2.378,2.425,2.322,2.335,2.367,2.279
9,2.367,2.456,2.331,2.339,2.427,2.31
10,,,,,,
11,2.255,2.356,2.242,2.203,2.319,2.197
12,2.47,2.756,2.519,2.474,2.659,2.477
13,2.402,2.565,2.404,2.423,2.587,2.425
14,,,,,,
15,2.257,2.328,2.213,2.203,2.261,2.165
16,2.437,2.56,2.414,2.45,2.6,2.442
17,,,,,,
18,,,,,,
19,,,,,,
20,2.263,2.511,2.305,2.235,2.462,2.273
21,2.38,2.664,2.437,2.328,2.675,2.413
22,2.296,2.415,2.289,2.316,2.489,2.328
23,2.268,2.592,2.346,2.353,2.711,2.447
24,2.309,2.681,2.406,2.347,2.609,2.4
25,2.255,2.398,2.254,2.225,2.378,2.231
26,2.433,2.484,2.378,2.431,2.466,2.369
27,2.37,2.534,2.372,2.398,2.517,2.373
28,2.352,2.462,2.332,2.375,2.526,2.375
29,2.356,2.669,2.426,2.347,2.621,2.395
57,2.376,2.712,2.446,2.422,2.795,2.508
58,2.488,2.845,2.574,2.48,2.819,2.55
59,2.397,2.635,2.433,2.444,2.677,2.468
60,2.285,2.453,2.291,2.267,2.461,2.289
61,2.205,2.354,2.214,2.204,2.35,2.212
62,2.237,2.527,2.31,2.217,2.512,2.287
63,2.353,2.396,2.299,2.344,2.407,2.307
64,,,,,,
65,2.341,2.416,2.298,2.366,2.453,2.331
66,,,,,,
67,2.453,2.695,2.482,2.393,2.601,2.416
68,2.314,2.38,2.269,2.27,2.32,2.22
69,2.423,2.498,2.374,2.397,2.485,2.356
70,2.478,2.516,2.41,2.474,2.557,2.428
71,2.385,2.484,2.351,2.417,2.521,2.385
72,2.413,2.47,2.349,2.432,2.506,2.382
73,2.413,2.47,2.349,2.432,2.506,2.382
74,2.399,2.411,2.333,2.394,2.395,2.324
75,2.296,2.364,2.253,2.216,2.236,2.16
76,2.379,2.52,2.369,2.349,2.497,2.342
77,2.344,2.404,2.3,2.342,2.406,2.3
78,2.343,2.402,2.3,2.35,2.403,2.303
79,,,,,,
80,2.326,2.486,2.339,2.357,2.521,2.361
81,,,,,,
82,2.327,2.578,2.361,2.294,2.537,2.326
